,DHSCLUST,DHSREGNA,LATNUM,LONGNUM,geometry,elementary_access,improved_access,limited_access,other
178,916,Gaza,-24.8117330278,34.3985563698,POINT (34.39855637000005 -24.81173302799994),2.0,1.0,25.0,
179,917,Gaza,-24.8168926071,34.1160857273,POINT (34.11608572700004 -24.81689260699994),1.0,,27.0,
180,918,Gaza,-24.9971965445,33.4108358335,POINT (33.41083583300008 -24.99719654499995),28.0,,,
181,919,Gaza,-25.0191204636,33.7284145348,POINT (33.72841453500007 -25.01912046399997),2.0,26.0,,
182,920,Gaza,-24.9591258462,33.6268133007,POINT (33.62681330100003 -24.95912584599995),1.0,,27.0,
183,1001,Maputo Province,-25.9641504439,32.4801130703,POINT (32.48011307000007 -25.96415044399998),,28.0,,
184,1002,Maputo Province,-25.919710957,32.4729647992,POINT (32.47296479900007 -25.91971095699995),,27.0,,
185,1003,Maputo Province,-25.9247582935,32.4605165493,POINT (32.46051654900003 -25.92475829399996),,27.0,,
186,1004,Maputo Province,-25.8914051204,32.5351379789,POINT (32.53513797900007 -25.89140511999994),1.0,25.0,,
187,1005,Maputo Province,-25.8288536446,32.5547624324,POINT (32.55476243200008 -25.82885364499998),2.0,25.0,,
188,1006,Maputo Province,-25.8778841823,32.5510669285,POINT (32.55106692800007 -25.87788418199995),1.0,27.0,,
189,1007,Maputo Province,-25.8981127382,32.4928346436,POINT (32.49283464400003 -25.89811273799995),1.0,26.0,,
190,1008,Maputo Province,-25.8259804137,32.4666438927,POINT (32.46664389300003 -25.82598041399996),,27.0,,
191,1009,Maputo Province,-25.8828025763,32.5081627478,POINT (32.50816274800007 -25.88280257599996),,28.0,,
192,1010,Maputo Province,-25.9076733097,32.5134876005,POINT (32.51348760000008 -25.90767330999995),,28.0,,
193,1011,Maputo Province,-25.3868115021,32.8030279433,POINT (32.80302794300007 -25.38681150199994),7.0,21.0,,
194,1012,Maputo Province,-26.3436925476,32.6645782282,POINT (32.66457822800004 -26.34369254799998),,28.0,,
195,1013,Maputo Province,-26.0254727378,32.3955523277,POINT (32.39555232800006 -26.02547273799996),,28.0,,
196,1014,Maputo Province,-25.9560396518,32.4012547966,POINT (32.40125479700004 -25.95603965199996),2.0,16.0,9.0,1.0
197,1015,Maputo Province,-25.0264694226,32.6868607699,POINT (32.68686077000007 -25.02646942299998),14.0,,14.0,
198,1016,Maputo Province,-25.4724586687,32.6780858745,POINT (32.67808587400003 -25.47245866899993),12.0,11.0,5.0,
